Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,4.10107591675549,7.6923076923076925,3.558847088080186,13.32518337408313
2,3.4800628871452517,13.797313797313798,3.1787418998204746,17.848410757946212
3,3.1294908302586255,20.054945054945055,2.8194956183433533,25.672371638141808
4,2.8250145063167666,25.503663003663004,2.381689977187377,33.74083129584352
5,2.5887344395242087,30.54029304029304,2.1218608113435597,40.09779951100244
6,2.4285900057815923,34.32539682539682,2.1435927783067408,39.73105134474328
7,2.3060857476257697,37.77472527472528,1.8968002687279995,47.06601466992665
8,2.1299245816905326,41.46825396825397,1.7802213854514635,48.53300733496332
9,1.9959119267579986,45.36019536019536,1.7483126601347556,50.733496332518335
10,1.874169763123117,48.504273504273506,1.5989412888884544,52.81173594132029
11,1.7634916288096731,50.83943833943834,1.3038068577074087,63.93643031784841
12,1.6274117530846015,54.27350427350427,1.273417989221903,65.28117359413203
13,1.5522259787815373,56.60866910866911,1.3523970779318075,62.95843520782396
14,1.4628571635339318,58.65384615384615,1.4674538093117566,61.7359413202934
15,1.3837349737562785,60.79059829059829,1.1061688363552094,70.4156479217604
16,1.3094772670327164,63.53785103785104,0.9255127838024726,74.5721271393643
17,1.2443074284530267,64.92673992673993,0.8499435557482334,77.26161369193154
18,1.1820932205130414,66.43772893772893,0.9265607985166403,75.91687041564792
19,1.142517742587299,67.26190476190476,0.7350390372941127,80.68459657701712
20,1.121412023247742,68.98656898656898,0.7503556633511415,80.19559902200488
21,1.029492391464187,71.52014652014653,0.7552811718330934,80.68459657701712
22,0.9924332685586883,71.64224664224665,0.6819234907340544,81.2958435207824
23,0.9515534797819649,73.27533577533578,0.6494690505071328,83.49633251833741
24,0.9225677818786807,73.3058608058608,0.5595206732933338,84.22982885085574
25,0.9012232986892142,74.52686202686203,0.560642062758024,85.94132029339853
26,0.9199735629849317,73.2905982905983,0.5297270177935178,85.45232273838631
27,0.80263042304574,77.35042735042735,0.5419412344121016,84.3520782396088
28,0.8113673146178083,77.53357753357753,0.4893255948733825,88.14180929095355
29,0.7872261897819798,77.64041514041514,0.5145263612950937,86.0635696821516
30,0.7708476195248162,78.17460317460318,0.44671939284755635,87.04156479217603
31,0.7306715143889916,79.34981684981685,0.4752884768665983,87.65281173594133
32,0.7217216452447379,79.7008547008547,0.4661860356752116,89.48655256723717
33,0.7026394917470653,80.38766788766789,0.490857216117617,87.65281173594133
34,0.6931388936391691,79.8076923076923,0.41015647924863374,89.3643031784841
35,0.673697649487635,80.6929181929182,0.4572188345572123,89.119804400978
36,0.6686834347684208,80.98290598290598,0.49797851825132966,87.89731051344744
37,0.6298855002333478,82.21916971916971,0.48064750296851766,88.38630806845966
38,0.6330051611109477,82.5091575091575,0.5228236652910709,88.87530562347189
39,0.610373524267499,82.95177045177046,0.3924060664497889,89.85330073349633
40,0.5975850171432262,83.15018315018315,0.4476270457156576,88.99755501222494
41,0.5834180406680921,83.501221001221,0.4685973274306609,88.63080684596576
42,0.5449953093397908,84.46275946275946,0.4127923336883004,90.34229828850856
43,0.5485146727867243,84.44749694749694,0.46922053998479474,88.99755501222494
44,0.5546719545998224,83.95909645909646,0.38495936051297647,90.58679706601467
45,0.5617683542210882,84.4017094017094,0.3705274221093322,91.44254278728606
46,0.5281382181295534,84.95115995115995,0.3994359390881772,90.83129584352078
47,0.5291705483706987,85.1953601953602,0.4366833747928747,89.3643031784841
48,0.5121237294702995,85.59218559218559,0.4798610040631432,87.53056234718827
49,0.5147367251355474,85.48534798534799,0.3672521860840229,92.1760391198044
50,0.5088703232930928,85.13431013431014,0.3694907606113702,91.19804400977995
51,0.4874121491865414,86.75213675213675,0.4600000645822057,90.46454767726162
52,0.5124088849236326,85.91269841269842,0.37014909962622017,91.44254278728606
53,0.48039589175363867,86.21794871794872,0.3941146841344352,91.44254278728606
54,0.4789221899901948,86.21794871794872,0.39435987050931615,91.80929095354523
