Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,4.7495787143707275,0.03986429177268872,3.9785979435994077,0.08791208791208792
2,3.889731494329309,0.08125530110262935,3.6359470073993387,0.10989010989010989
3,3.607233270522087,0.11450381679389313,3.2902895716520457,0.16788766788766787
4,3.401442035551994,0.1431721798134012,3.055265160707327,0.22832722832722832
5,3.19557273516091,0.17947413061916878,2.8457330832114587,0.2442002442002442
6,3.073095724146853,0.220186598812553,2.626623992736523,0.3089133089133089
7,2.8948965521268946,0.24817642069550466,2.61916534946515,0.3156288156288156
8,2.8349702486427883,0.2678541136556404,2.44078322328054,0.358974358974359
9,2.707766612370809,0.30229007633587784,2.3121378903205576,0.38400488400488403
10,2.592787483687042,0.32264631043256997,2.4350082897222958,0.3540903540903541
11,2.5353124756966867,0.3341815097540288,2.127879078571613,0.4438339438339438
12,2.4545589082984516,0.3486005089058524,2.012874181453998,0.4719169719169719
13,2.3677321082802227,0.36776929601357083,2.06237879051612,0.4523809523809524
14,2.3314990023131013,0.3803223070398643,1.954628763290552,0.48412698412698413
15,2.249920279748978,0.39575911789652246,1.8584194848170648,0.5036630036630036
16,2.1814220297721123,0.40983884648006785,1.8967463442912469,0.4987789987789988
17,2.1267274759149037,0.42765055131467344,1.7475786530054533,0.5372405372405372
18,2.126979843262703,0.4315521628498728,1.7216055989265442,0.5439560439560439
19,2.068503260612488,0.4400339270568278,1.6977555935199444,0.5500610500610501
20,2.034642988635648,0.4522476675148431,1.6879862225972688,0.5433455433455433
21,1.9431996935157365,0.4720949957591179,1.6611316547943995,0.5543345543345544
22,1.8779177499073807,0.48295165394402034,1.5995980191689272,0.5708180708180708
23,1.908317074980787,0.4897370653095844,1.6411333003869424,0.5738705738705738
24,1.8772449019134685,0.4870229007633588,1.5429704716572394,0.5885225885225885
25,1.7870748023832999,0.5070398642917727,1.56884171297917,0.5818070818070818
26,1.7867634181053407,0.500763358778626,1.5335802733898163,0.5982905982905983
27,1.7527944285382506,0.5231552162849873,1.486599095738851,0.6007326007326007
28,1.7218897150408836,0.5314673452078033,1.4824900718835683,0.6031746031746031
29,1.7091508065500567,0.5263782866836302,1.4448464868160396,0.615995115995116
30,1.6827846547608734,0.5341815097540288,1.416259194795902,0.6141636141636142
31,1.663072560423164,0.5421543681085665,1.385978721655332,0.6343101343101343
32,1.5710310512973416,0.5626802374893978,1.5030064089940145,0.6135531135531136
33,1.5804137113273784,0.5589482612383376,1.3577534636625876,0.6556776556776557
34,1.573294681887473,0.5635284139100933,1.36588811645141,0.6428571428571429
35,1.5536825990164151,0.5713316369804919,1.3375220688489766,0.6440781440781441
36,1.5435131454980502,0.5718405428329092,1.3417809685835471,0.6452991452991453
37,1.4792452787840238,0.5850720949957591,1.2878103187450995,0.6587301587301587
38,1.492748155388781,0.5803223070398643,1.2851106501542604,0.6514041514041514
39,1.4440905214637838,0.5872773536895675,1.2961949866551619,0.6605616605616605
40,1.4496793170129099,0.5976251060220525,1.2886341586709023,0.663003663003663
41,1.456730236930232,0.5927056827820186,1.3139394303927054,0.6556776556776557
42,1.4206671676328104,0.6044105173876166,1.2552675089010825,0.6672771672771672
43,1.4110407784420957,0.603392705682782,1.2975512215724359,0.6556776556776557
44,1.3656820353641306,0.6149279050042409,1.2054567371423428,0.6898656898656899
45,1.3604168609906269,0.6088210347752332,1.2625175359157415,0.6727716727716728
46,1.3301597442678226,0.6254452926208651,1.3856089504865499,0.6593406593406593
47,1.3462060145152512,0.6257845631891433,1.227071462915494,0.6868131868131868
48,1.3371604213150599,0.6273112807463953,1.2084239492049584,0.6862026862026862
49,1.3036903533884274,0.623579304495335,1.3049536588100286,0.6758241758241759
