Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,4.5792042445210575,2.60989010989011,4.505098012777475,3.4229828850855744
2,4.507865868725823,2.915140415140415,4.49808931350708,3.4229828850855744
3,4.508024354582852,3.1135531135531136,4.498791364523081,3.4229828850855744
4,4.506027078165592,3.0982905982905984,4.497502767122709,3.4229828850855744
5,4.505976209362734,2.9914529914529915,4.497352746816782,3.4229828850855744
6,4.504541068401151,3.067765567765568,4.497772033397968,3.4229828850855744
7,4.505636326317648,3.0067155067155067,4.498507719773513,3.4229828850855744
8,4.504563586225787,2.9914529914529915,4.498591679793138,3.4229828850855744
9,4.506157217673885,2.945665445665446,4.497572788825402,2.567237163814181
10,4.504992790592527,3.144078144078144,4.499058430011456,2.567237163814181
11,4.505336293896425,2.8846153846153846,4.498579502105713,2.567237163814181
12,4.504265706516007,3.037240537240537,4.498796279613789,2.567237163814181
13,4.505781909794483,3.1135531135531136,4.4985198974609375,3.4229828850855744
14,4.505454318037311,2.8998778998779,4.498289071596586,3.4229828850855744
15,4.506300717881582,3.067765567765568,4.499446612138015,2.567237163814181
16,4.504855929069149,3.2356532356532357,4.499099034529466,3.4229828850855744
17,4.505502497108237,2.9761904761904763,4.498028204991267,3.4229828850855744
18,4.5048071759418375,3.067765567765568,4.497143965501052,2.567237163814181
19,4.505747253455005,2.960927960927961,4.498148441314697,2.567237163814181
20,4.504640912546695,3.0982905982905984,4.499390051915095,2.567237163814181
21,4.504020723324378,2.93040293040293,4.4981512656578655,3.4229828850855744
22,4.50401051993509,3.18986568986569,4.49885526070228,2.567237163814181
23,4.503771573594473,2.8998778998779,4.498770750485933,2.567237163814181
24,4.504602214665089,3.0067155067155067,4.498726991506723,3.4229828850855744
25,4.504856813301161,3.0067155067155067,4.498423502995418,3.4229828850855744
26,4.504401933799669,2.9761904761904763,4.498569525205172,3.4229828850855744
27,4.50443036347917,2.93040293040293,4.4993600111741285,3.4229828850855744
28,4.503901666807897,2.854090354090354,4.498005133408767,3.4229828850855744
29,4.502970806603293,2.8998778998779,4.498301175924448,3.4229828850855744
30,4.50431312635107,2.945665445665446,4.498362064361572,3.4229828850855744
31,4.503968891588229,3.1135531135531136,4.498869015620305,3.4229828850855744
32,4.50516556767584,3.067765567765568,4.4991858922518215,3.4229828850855744
33,4.5045560123851,3.021978021978022,4.498344494746282,2.567237163814181
34,4.504510953588393,3.0525030525030523,4.499030003180871,3.4229828850855744
35,4.504143302880444,3.128815628815629,4.49852099785438,2.567237163814181
36,4.504852165296239,2.8998778998779,4.498577778155987,2.567237163814181
37,4.503906592582036,3.021978021978022,4.499547371497521,3.4229828850855744
38,4.503873903774521,3.067765567765568,4.4977540236253,3.4229828850855744
39,4.505796446383578,3.1135531135531136,4.499003043541541,2.567237163814181
40,4.504077545647482,3.0982905982905984,4.4985253260685845,3.4229828850855744
41,4.504905557169498,3.083028083028083,4.499873124636137,3.4229828850855744
42,4.504206412046859,3.1135531135531136,4.498945236206055,3.4229828850855744
43,4.504631699867619,3.083028083028083,4.4988885292640095,3.4229828850855744
44,4.5044476685014745,3.128815628815629,4.498980925633357,3.4229828850855744
45,4.503070794262932,3.266178266178266,4.499061474433312,3.4229828850855744
46,4.5030832707303245,2.945665445665446,4.4983762594369745,2.567237163814181
47,4.504075156832204,2.9914529914529915,4.4983398364140434,3.4229828850855744
48,4.5033081249125955,3.021978021978022,4.49798477613009,3.4229828850855744
49,4.503306490703694,3.021978021978022,4.498426474057711,3.4229828850855744
50,4.50398159952997,3.0525030525030523,4.498102004711445,3.4229828850855744
51,4.502978264706806,2.960927960927961,4.498143599583552,2.567237163814181
52,4.504220346802646,2.9761904761904763,4.498869088979868,3.4229828850855744
53,4.50441464174141,2.854090354090354,4.497924071091872,3.4229828850855744
54,4.504508287003897,2.960927960927961,4.499360818129319,3.4229828850855744
55,4.504132201370684,2.9914529914529915,4.499127534719614,2.567237163814181
56,4.503809234470997,2.8998778998779,4.499119281768799,3.4229828850855744
57,4.504986980586376,2.793040293040293,4.499227377084585,3.4229828850855744
58,4.503930652025834,3.083028083028083,4.497976486499493,3.4229828850855744
59,4.505178104326563,3.0067155067155067,4.4980301123399,2.567237163814181
60,4.502889804469729,2.9914529914529915,4.497745037078857,3.4229828850855744
61,4.504201847372703,3.2051282051282053,4.498285146859976,3.4229828850855744
62,4.5042965805646284,3.037240537240537,4.498756922208345,3.4229828850855744
63,4.502458271471042,2.945665445665446,4.498050983135517,2.567237163814181
64,4.503279468388233,2.945665445665446,4.497449948237493,3.4229828850855744
65,4.504370508842098,2.7472527472527473,4.4974853442265434,3.4229828850855744
66,4.504696883044197,3.159340659340659,4.497199388650747,3.4229828850855744
67,4.505032585662546,3.021978021978022,4.49829835158128,3.4229828850855744
68,4.504520184785417,3.2051282051282053,4.4982930696927586,3.4229828850855744
69,4.502854939803337,3.0982905982905984,4.497727760901818,3.4229828850855744
70,4.502834014522219,3.021978021978022,4.498806770031269,3.4229828850855744
71,4.503710806948467,3.128815628815629,4.4989459698016825,2.567237163814181
72,4.502785048438508,2.945665445665446,4.49822183755728,2.567237163814181
73,4.50240743970408,2.960927960927961,4.497921870304988,2.567237163814181
74,4.50294435371473,2.945665445665446,4.497533468099741,3.4229828850855744
75,4.503986710483588,3.0982905982905984,4.498786082634559,3.4229828850855744
76,4.504426085833207,3.083028083028083,4.497991451850305,3.4229828850855744
77,4.50390790272685,2.8235653235653237,4.497770346128023,3.4229828850855744
78,4.505534139651696,3.021978021978022,4.499418882223276,2.567237163814181
79,4.503604833362172,2.8998778998779,4.498155117034912,3.4229828850855744
80,4.504202731604715,3.021978021978022,4.498354691725511,3.4229828850855744
