Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,3.664038206941338,0.2561492790500424,2.4793787827858558,0.6092796092796092
2,2.234252864314664,0.5811704834605598,1.5818566129757807,0.7344322344322345
3,1.6417003588009906,0.6861747243426632,1.190426455094264,0.8015873015873016
4,1.349249219381681,0.734520780322307,0.9571332931518555,0.8247863247863247
5,1.1844951183565202,0.7603053435114504,0.7885320519025509,0.8559218559218559
6,1.0340923436226384,0.7803223070398643,0.6895346481066483,0.8693528693528694
7,0.9633960531603906,0.7869380831212892,0.6465780746478301,0.8663003663003663
8,0.8741105589815366,0.8120441051738762,0.5972379577847627,0.8803418803418803
9,0.8619349278429503,0.816793893129771,0.5949394232951678,0.8815628815628815
10,0.8555530912132674,0.8206955046649703,0.5838488374765103,0.884004884004884
11,0.8592718237189836,0.8193384223918575,0.5900539899101624,0.8846153846153846
12,0.8295498195514884,0.8264631043256997,0.5898756648485477,0.8833943833943834
13,0.8219629859411588,0.8217133163698049,0.5835307337916814,0.8821733821733821
14,0.8210408770909874,0.8295165394402035,0.558782815360106,0.891941391941392
15,0.8222397072340852,0.8249363867684478,0.5676930701503387,0.8821733821733821
16,0.8004150015692557,0.8324003392705682,0.5646566920555555,0.887057387057387
17,0.8035417096589201,0.83019508057676,0.5570069740598018,0.8894993894993894
18,0.7930502529426288,0.8276505513146735,0.562537268950389,0.8882783882783882
19,0.8020975493615673,0.8312128922815946,0.5524764920656497,0.891941391941392
20,0.8248085241804841,0.8181509754028838,0.5579341672934018,0.8888888888888888
21,0.8119804404115164,0.8213740458015267,0.5601014408927697,0.8888888888888888
22,0.834680748562659,0.8198473282442749,0.5648041487886355,0.8925518925518926
23,0.8253996010108661,0.8259541984732824,0.5701913352196033,0.8827838827838828
24,0.8098809405039715,0.8244274809160306,0.5587900263758806,0.887057387057387
25,0.7775755050361798,0.836980491942324,0.5628747550340799,0.8888888888888888
26,0.8431707210438226,0.821882951653944,0.5675580111833719,0.8852258852258852
27,0.8193738550268194,0.8266327396098389,0.5698564717402825,0.8858363858363858
28,0.8133062656207751,0.8298558100084817,0.559492038992735,0.8913308913308914
29,0.8359938289529534,0.8262934690415606,0.5705617666244507,0.884004884004884
30,0.8093008796374003,0.8271416454622561,0.5639199843773475,0.887057387057387
31,0.827112103021273,0.8305343511450382,0.5618973838595244,0.8901098901098901
32,0.803295442494013,0.8308736217133164,0.5651342983429248,0.8882783882783882
33,0.8071714620436391,0.8242578456318914,0.5602477788925171,0.8907203907203908
34,0.8154501969455391,0.8273112807463953,0.5593667712349158,0.8901098901098901
